㨗	捷
讐	仇 讎
閤	閤 闔 閣
櫥	橱
櫕	攢
猙	狰
冣	最
襃	褒
栢	柏
厛	廳
舖	鋪
蜖	蛔
㡌	帽
淩	凌
儌	僥
邨	村 邨
劄	札 劄
醆	盞
𣙜	榷
欱	喝
嫰	嫩
躕	蹰
塲	場
蜋	螂
荘	莊
飤	飼
㥦	愜
嘅	慨
畊	耕
粧	妝
颷	飆
斍	覺
菉	緑 菉
銲	焊
穽	阱
賉	恤
煖	暖
擣	搗
璢	琉
愬	訴
亙	亘
䴸	麩
艸	草
勌	倦
鉤	鈎
沍	冱
𡨘	冤
㠯	以
潃	滫
䟎	趲
鞌	鞍
𤱈	畝
註	注
埰	采
皐	皋
檁	檩
堦	階
讃	贊
盃	杯
羋	芈
慽	戚
為	爲
鍼	針
䘏	恤
吚	咿
𩎢	弢
椏	丫 椏
滛	淫
踁	脛
吒	吒 咤
眥	眦
肻	肯
𩳁	䰡
蘯	蕩
痐	蛔
湊	凑
惪	德
刦	劫
囘	回
椶	棕
錄	録
甦	蘇 甦
厰	廠
璿	璇 瓊
誌	志
矦	侯
筞	策
猨	猿
㘭	坳
歛	斂
鬉	鬃
騐	驗
濬	浚
箠	棰
瞇	眯
塚	冢
灩	灧
㤙	恩
熅	煴
蔥	葱
棃	梨
𡨥	寇
昬	昏
醻	酬
庽	寓
禩	祀
夠	够
拕	拖
鬦	鬥
旂	旗
耡	鋤
𣯶	毿
裌	夾
餵	喂
鮌	鯀
曏	嚮
蹔	暫
蔆	菱
槕	桌
迺	乃 迺
笻	筇
譲	讓
䝔	獾
驩	歡
鵰	雕
痳	淋
鏽	銹
柟	楠
縚	縧
燐	磷
佇	伫
茲	兹
鎲	钂
碕	埼
絜	潔 絜
兔	兔
斲	斫
慇	殷
涼	凉
畒	畝
偹	備
掽	碰
殽	淆 殽
煑	煮
慙	慚
賔	賓
餹	糖
蚘	蛔
豎	竪
餁	飪
閧	哄
勑	敕 勑
証	證
僱	雇
糉	粽
孼	孽
䕃	蔭
櫈	凳
樐	櫓
飇	飆
綠	緑
麪	麵
溈	潙
汎	泛
鯗	鮝
襢	袒
窰	窑
拏	拿
銭	錢
絏	紲
㳄	涎
椉	乘
訢	欣 訢
搾	榨
槓	杠
蹤	踪
盌	碗
豓	艷
瑤	瑶
𠴰	咱
旣	既
麴	麯 麴
粬	麯
彿	佛
睜	睁
翺	翱
鱷	鰐
飱	飧
闘	鬥
牴	抵
𭁵	寇
湧	涌
獧	狷
跥	跺
綘	縫
遙	遥
厪	廑
亁	乾
靦	腼 靦
榲	榅
幮	㡡
蛕	蛔
䰟	魂
崐	昆
稟	禀
麼	麽
𩓐	脖
頼	賴
攟	捃
昚	慎
寛	寬
鰮	鰛
虵	蛇
慂	恿
奔	奔
廄	厩
鬪	鬥
悞	誤
懍	懔
蹠	跖
𠕂	再
蹵	蹴
戩	戬
換	换
旹	時
廻	迴
㬪	叠
顦	憔
啎	忤
卽	即
瀦	潴
栁	柳
菓	果
粺	稗
軆	體
㕁	却
櫂	棹
氳	氲
釬	焊
壎	塤
岅	坂
㳒	法
鑵	罐
皷	鼓
菴	庵
佔	占
茘	荔
睒	䀹
諐	愆
鼃	蛙
癒	愈
朮	术 秫
滙	匯
鞝	緔
敂	叩
穨	頽
垜	垛
挩	捝
驘	騾
缷	卸
槼	規
擕	携
寀	采
妬	妒
帀	匝
兾	冀
淼	渺 淼
檝	楫
欍	柩
堿	碱
𨶏	闕
韈	襪
瘖	喑
搥	捶
褭	裊
幑	徽
蘃	蕊
峝	峒
攜	携
騘	驄
𦍑	羌
隠	隱
倖	幸
嚐	嘗
蘊	藴
釐	厘 釐 禧
絕	絶
禿	秃
罵	駡
艪	櫓
秊	年
匄	丐
𤰜	畝
儗	擬
羇	羈
譌	訛
礟	炮
蒭	芻
剉	銼
鬭	鬥
譟	噪
躭	耽
勲	勛
筯	箸
啑	喋
裵	裴
鍅	鈁
椗	碇
晻	暗
㩀	據
塜	冢
蝡	蠕
凢	凡
槨	椁
枩	松
埳	坎
搆	構
嵳	嵯
従	從
樑	梁
踰	逾
儵	倏
雰	氛
佀	似
乕	虎
嫋	裊
㠶	帆
奧	奥
隉	陧
秌	秋
歿	殁
㨪	晃
㿜	癟
淥	渌
歴	歷
冄	冉
採	采
尠	鮮
懽	歡
憇	憩
愨	慤
箇	個
屭	屓
姙	妊
揫	揪
牠	它
㧱	拿
鉅	巨 鉅
譛	譖
峯	峰
